Country,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,..,..,..,..,..,..,..,..,..,..,..,3.46196,3.43785,2.52441,3.47171,3.77759,3.24202,..,..
Åland Islands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,,3.37971,3.28692,3.3406,3.05664,3.06427,3.17008,3.23872,3.15719,3.26868,..,..,..,..,..,3.5393,..,3.45364,..,..
Algeria,,..,..,..,..,..,..,..,..,..,4.33702,..,..,..,..,..,..,..,..,..
American Samoa,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,,..,..,..,1.68153,..,1.52269,1.59653,2.18989,2.07097,2.93007,3.15484,3.05742,3.14508,..,2.43807,2.99781,3.25368,3.27811,..
Angola,,..,2.60753,..,..,..,..,2.7762,2.85969,..,..,..,3.47644,..,..,..,..,..,..,..
Anguilla,,..,..,..,..,..,..,..,..,..,2.84263,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,,2.75397,..,..,3.39428,..,..,..,..,..,..,2.51724,..,..,..,..,..,..,..,..
Argentina,,4.52168,4.58031,4.83374,4.01734,3.53505,3.48652,3.86001,4.12821,4.4626,4.84441,5.53105,5.01971,5.29063,5.34583,5.43661,5.36144,5.87527,..,..
Armenia,,2.23519,2.77273,2.46944,2.13504,2.14504,2.48673,2.71203,2.71577,3.01894,3.17273,3.84079,3.249,3.14385,2.77248,2.65018,2.24724,2.80591,2.75129,..
Aruba,,4.39554,4.71468,4.73949,4.92427,..,4.4089,4.68076,..,4.79918,4.91559,5.92467,6.71249,6.03687,6.54906,6.80806,6.16293,6.47906,..,..
Australia,,..,4.88884,..,..,..,..,4.90778,4.74055,4.65726,4.63187,5.08932,5.5659,5.09675,4.89419,5.25979,5.19267,..,..,..
Austria,,6.11234,5.58881,5.57548,5.52213,5.36183,5.30243,5.24937,5.22652,5.1469,5.26396,5.73025,5.70048,5.59227,5.4804,5.54711,5.44898,..,..,..
Azerbaijan,,4.21217,3.85399,3.50342,3.15449,3.28615,3.44766,2.97462,2.55551,2.54928,2.44093,3.22431,2.78062,2.43564,2.06761,2.44213,2.63304,2.95168,..,..
Bahamas,,..,2.84999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,,..,..,..,..,..,..,..,2.87436,2.575,2.49678,..,..,..,2.64531,2.47688,2.46746,2.66808,2.66452,..
Bangladesh,,2.13282,2.12508,2.17193,2.01715,2.06939,1.94014,..,2.13129,2.20222,2.05457,1.93942,..,2.1327,2.1755,1.96616,..,..,2.50032,..
Barbados,,4.25458,4.62151,5.93509,5.76335,6.12136,5.90407,5.55696,..,5.18462,5.0861,5.31351,6.09734,..,5.2589,5.09774,6.22941,..,5.09272,..
Belarus,,6.00001,6.19662,..,..,..,5.71226,5.87103,6.07696,5.1521,..,4.51672,5.22004,4.68479,4.95964,5.00942,4.81831,4.78752,4.97946,..
Belgium,,..,..,5.84328,5.94735,5.88479,5.80696,5.76901,5.84036,5.84904,6.29139,6.41536,6.40799,6.37874,..,6.63966,6.59685,..,..,..
Belize,,5.44344,5.02843,5.79693,..,5.20682,5.29927,..,..,..,5.68776,6.10014,6.621,..,..,6.21827,6.47411,6.71249,..,7.40923
Benin,,2.62665,2.88869,3.23235,2.95134,3.12027,3.50804,3.63079,3.50328,3.22981,3.79566,4.22204,5.02932,..,4.86816,4.54762,4.32113,4.35652,..,..
Bermuda,,..,..,..,..,1.66627,1.77588,1.98877,..,..,..,2.61519,2.64421,..,..,..,1.78285,1.68973,..,1.49201
Bhutan,,..,5.51379,5.7178,..,..,6.41799,7.0781,..,..,4.7975,4.62672,4.02447,4.65258,..,5.58966,5.90333,7.38966,..,..
Bolivia (Plurinational State of),,5.65932,5.47342,5.89946,6.23031,6.37904,..,..,6.31361,..,7.03973,8.0812,7.60011,6.88847,6.42524,6.25793,7.28535,..,..,..
Bosnia and Herzegovina,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,,..,..,..,..,..,..,10.67859,..,8.85149,..,9.63292,..,..,..,..,..,..,..,..
